trace,round_start_tsc,round_done_tsc,rest_start_tsc,trace_done_tsc,first_round_cycles,attacker_measurement_window_cycles,rest_aes_cycles,trace_wall_cycles
132,234987234588271,234987234589513,234987234654335,234987234654949,1242,64822,614,66678
133,234987234752339,234987234753581,234987234819643,234987234820303,1242,66062,660,67964
134,234987234917329,234987234918565,234987234982907,234987234983593,1236,64342,686,66264
135,234987235081675,234987235083019,234987235150595,234987235151249,1344,67576,654,69574
136,234987235255903,234987235257233,234987235324177,234987235324835,1330,66944,658,68932
137,234987235429243,234987235430581,234987235497311,234987235497983,1338,66730,672,68740
138,234987235609939,234987235611251,234987235678583,234987235679245,1312,67332,662,69306
139,234987235788577,234987235789733,234987235851269,234987235851943,1156,61536,674,63366
140,234987235937875,234987235939049,234987236001213,234987236001899,1174,62164,686,64024
141,234987236097745,234987236099899,234987236163337,234987236164015,2154,63438,678,66270
142,234987236250869,234987236252021,234987236313303,234987236313961,1152,61282,658,63092
143,234987236400179,234987236401345,234987236464033,234987236464657,1166,62688,624,64478
144,234987236550989,234987236552149,234987236612365,234987236613035,1160,60216,670,62046
145,234987236698825,234987236700967,234987236763233,234987236763917,2142,62266,684,65092
146,234987236850307,234987236851481,234987236912881,234987236913535,1174,61400,654,63228
147,234987237000077,234987237002255,234987237064619,234987237065261,2178,62364,642,65184
148,234987237151469,234987237153671,234987237214925,234987237215623,2202,61254,698,64154
149,234987237301457,234987237302657,234987237363877,234987237364535,1200,61220,658,63078
150,234987237450755,234987237451891,234987237514865,234987237515521,1136,62974,656,64766
151,234987237602131,234987237603373,234987237667135,234987237667799,1242,63762,664,65668
152,234987237761189,234987237763327,234987237824689,234987237825347,2138,61362,658,64158
153,234987237911153,234987237912295,234987237975299,234987237975977,1142,63004,678,64824
154,234987238062295,234987238064437,234987238125239,234987238125907,2142,60802,668,63612
155,234987238211905,234987238213099,234987238273501,234987238274179,1194,60402,678,62274
156,234987238360777,234987238361957,234987238425941,234987238426597,1180,63984,656,65820
157,234987238513085,234987238514249,234987238576687,234987238577353,1164,62438,666,64268
158,234987238663705,234987238665865,234987238730155,234987238730815,2160,64290,660,67110
159,234987238824539,234987238825717,234987238888139,234987238888795,1178,62422,656,64256
160,234987238974869,234987238976011,234987239039215,234987239039893,1142,63204,678,65024
