index,hit_ticks,miss_ticks
1440,100,1102
1441,100,1098
1442,100,1106
1443,98,1094
1444,100,1098
1445,98,1098
1446,102,1620
1447,98,1094
1448,100,1092
1449,100,1096
1450,100,1098
1451,98,1092
1452,98,1092
1453,100,1098
1454,100,1098
1455,98,1098
1456,98,1100
1457,100,1092
1458,102,1086
1459,100,1096
1460,102,1104
1461,98,1098
1462,98,1096
1463,100,1092
1464,100,1108
1465,100,1594
1466,100,1092
1467,102,1104
1468,100,1100
1469,100,1094
1470,102,1098
1471,100,1098
1472,102,1088
1473,102,1106
1474,100,1100
1475,98,1096
1476,100,1090
1477,104,1092
1478,98,1090
1479,98,1096
1480,96,1104
1481,98,1096
1482,100,1092
1483,100,1096
1484,104,1616
1485,100,1098
1486,98,1094
1487,98,1098
1488,98,1098
1489,102,1102
1490,100,1094
1491,102,1094
1492,100,1092
1493,96,972
1494,98,1096
1495,98,1100
1496,102,1100
1497,102,1094
1498,98,1096
1499,100,1098
1500,96,1104
1501,100,1094
1502,96,1094
1503,102,1590
1504,100,1100
1505,98,1098
1506,100,1094
1507,98,1098
1508,98,1086
1509,102,1096
1510,102,1096
1511,100,1108
1512,98,1104
1513,98,1100
1514,102,1094
1515,102,1092
1516,96,1108
1517,100,1098
1518,98,1092
1519,96,1094
1520,102,1098
1521,98,1094
1522,100,1626
1523,98,1092
1524,100,1104
1525,100,1088
1526,100,1088
1527,96,1092
1528,100,1096
1529,100,1098
1530,104,1104
1531,98,1104
1532,98,1106
1533,102,1092
1534,98,1106
1535,98,1098
1536,100,1098
1537,98,1090
1538,100,1102
1539,102,1098
1540,100,1104
1541,98,1614
1542,98,1102
1543,98,1092
1544,96,1086
1545,100,1098
1546,100,1100
1547,98,1104
1548,100,1102
1549,100,1092
1550,98,1092
1551,98,1094
1552,100,1098
1553,98,1094
1554,98,1104
1555,98,1092
1556,98,1094
1557,98,1098
1558,100,1098
1559,102,1100
1560,102,1596
1561,100,1092
1562,100,1098
1563,100,1104
1564,98,1092
1565,98,1108
1566,102,1098
1567,100,1094
1568,102,1092
1569,98,1094
1570,98,1098
1571,100,1098
1572,98,1092
1573,100,1092
1574,100,1098
1575,100,1098
1576,98,1100
1577,100,1096
1578,102,1098
1579,98,1570
1580,102,1100
1581,102,1102
1582,98,1092
1583,98,1092
1584,98,1098
1585,98,1098
1586,98,1094
1587,102,1100
1588,100,1098
1589,100,1092
1590,100,1110
1591,100,1092
1592,102,1092
1593,100,1098
1594,100,1098
1595,100,1094
1596,100,1098
1597,96,1094
1598,102,1614
1599,98,1100
1600,100,1092
1601,98,1096
1602,100,1100
1603,100,1098
1604,102,1092
1605,100,1098
1606,98,1100
1607,98,1098
1608,98,1088
1609,96,1106
1610,100,1108
1611,102,1088
1612,100,1090
1613,100,1104
1614,102,1098
1615,98,1092
1616,102,1104
1617,102,1564
1618,98,1098
1619,98,1094
1620,98,1096
1621,100,1098
1622,98,1104
1623,102,1086
1624,98,1096
1625,98,1092
1626,102,1088
1627,100,1094
1628,102,1092
1629,100,1098
1630,98,1098
1631,96,1092
1632,98,1038
1633,98,1022
1634,98,1008
1635,108,1008
1636,98,1002
1637,98,1006
1638,100,1002
1639,98,1008
1640,102,1014
1641,102,1008
1642,100,1016
1643,98,1014
1644,100,1012
1645,100,1004
1646,98,1012
1647,98,1006
1648,96,1008
1649,98,1016
1650,100,1006
1651,98,1006
1652,102,1006
1653,100,1004
1654,98,1010
1655,96,1014
1656,100,1008
1657,100,1008
1658,104,1008
1659,102,1010
1660,100,1010
1661,98,1012
1662,106,1014
1663,100,1016
1664,96,1004
1665,100,1006
1666,100,1014
1667,98,1010
1668,98,1024
1669,98,1010
1670,100,1018
1671,104,1002
1672,102,1008
1673,100,1018
1674,102,1018
1675,102,1016
1676,102,1010
1677,98,1014
1678,98,1014
1679,100,1006
1680,98,1018
1681,100,1006
1682,100,1006
1683,98,1006
1684,100,1008
1685,98,1010
1686,98,1012
1687,100,1012
1688,100,1004
1689,102,1012
1690,100,1008
1691,98,1014
1692,100,1008
1693,98,1008
1694,98,1010
1695,102,1008
1696,100,1020
1697,100,1008
1698,102,1014
1699,100,1010
1700,102,1006
1701,102,1010
1702,102,1014
1703,98,1014
1704,98,1002
1705,100,1018
1706,100,1008
1707,102,1008
1708,100,1008
1709,100,1014
1710,102,1008
1711,104,1008
1712,102,1002
1713,102,1014
1714,100,1004
1715,100,1008
1716,100,1020
1717,100,1006
1718,106,1008
1719,102,1012
1720,98,1014
1721,100,1010
1722,98,1006
1723,100,1022
1724,102,1028
1725,98,1032
1726,100,1028
1727,100,1030
1728,98,1036
1729,100,1034
1730,98,1034
1731,104,1038
1732,98,1042
1733,100,1030
1734,102,1038
1735,98,1030
1736,102,1072
1737,100,1072
1738,98,1068
1739,100,1068
1740,100,1062
1741,98,1062
1742,98,1074
1743,102,1068
1744,96,1074
1745,100,1060
1746,100,1066
1747,98,1066
1748,104,1072
1749,102,1098
1750,100,1086
1751,98,1102
1752,100,1086
1753,96,1082
1754,96,1086
